group,model,display_name,task,source_task,task_name,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_level,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high,above_chance_p
mcq345,gemini3CQ,Gemini 3CQ,Task5,task5,Visible Object Count,0.639,1917,1083,3000,0.008768865377002888,0.6216453311628487,0.6559991358423356,0.3333333333333333,0.4585,0.43246799674427305,0.4839987037635034,1.1247528663468837e-255
mcq345,gemini3CQ,Gemini 3CQ,Task6,task2,Top Layer,0.452,1356,1644,3000,0.00908654683217631,0.43426304131170096,0.4698597326721204,0.3333333333333333,0.17800000000000002,0.15139456196755144,0.20478959900818058,1.4955930718045285e-41
mcq345,gemini3CQ,Gemini 3CQ,Task7,task6,Direct Support,0.5753333333333334,1726,1274,3000,0.009024501627770347,0.5575600183073937,0.5929139614124426,0.3333333333333333,0.36300000000000004,0.3363400274610905,0.38937094211866385,5.780293536629536e-162
mcq345,gemini3CQ,Gemini 3CQ,Task8,task7,Support Column,0.5696666666666667,1709,1291,3000,0.009039663628615753,0.5518709385926737,0.5872842019446969,0.3333333333333333,0.3545,0.3278064078890105,0.3809263029170453,1.0989909201376025e-154
mcq345,gemini3CQ,Gemini 3CQ,Task9,task8,Hidden Object Count,0.47933333333333333,1438,1562,3000,0.009120908011977917,0.4614941996426103,0.4972253280448684,0.3333333333333333,0.219,0.19224129946391544,0.2458379920673026,2.111288720407832e-61
mcq345,gemini3CQ,Gemini 3CQ,Target1,main,Object Counting,0.4266666666666667,1280,1720,3000,0.009029991181653542,0.40907274205971117,0.4444481626377937,0.3333333333333333,0.14000000000000004,0.11360911308956677,0.16667224395669053,1.2101016279369019e-26
mcq345,gemini3CQ,Gemini 3CQ,Target2a,task10,Mental Rotation 90,0.4856666666666667,1457,1543,3000,0.009124957635619569,0.4678115112690059,0.503558483740052,0.3333333333333333,0.22850000000000004,0.20171726690350883,0.25533772561007795,1.4791298098537578e-66
mcq345,gemini3CQ,Gemini 3CQ,Target2b,task11,Mental Rotation 180,0.44266666666666665,1328,1672,3000,0.009068496547368236,0.42497695479422115,0.4605030252420098,0.3333333333333333,0.16399999999999998,0.13746543219133173,0.19075453786301472,1.1462976744043709e-35
mcq345,gemini4CQ,Gemini 4CQ,Task1,task1,Object Categorization,0.42833333333333334,1285,1715,3000,0.009034450525421914,0.41072855380119544,0.4461214212440934,0.25,0.23777777777777778,0.21430473840159392,0.26149522832545785,1.4657621182181382e-100
mcq345,gemini4CQ,Gemini 4CQ,Task2,task9,Cluster Count,0.42633333333333334,1279,1721,3000,0.009029086742711436,0.40874160430071116,0.4441134863272368,0.25,0.23511111111111113,0.2116554724009482,0.25881798176964904,1.8581705172096944e-98
mcq345,gemini4CQ,Gemini 4CQ,Task3,task3,Column Count,0.3373333333333333,1012,1988,3000,0.008632102014294386,0.3206319895549599,0.35445074450132324,0.25,0.11644444444444442,0.09417598607327989,0.13926765933509766,7.126852328929148e-27
mcq345,gemini4CQ,Gemini 4CQ,Task4,task4,Layer Count,0.47633333333333333,1429,1571,3000,0.009118477374519807,0.4585027912368467,0.4942244098246209,0.25,0.30177777777777776,0.2780037216491289,0.32563254643282785,2.3395110340746108e-157
mcq345,gemini4CQ,Gemini 4CQ,Task5,task5,Visible Object Count,0.5166666666666667,1550,1450,3000,0.009123636377056066,0.49877445020230077,0.5345162532755392,0.25,0.3555555555555556,0.331699266936401,0.3793550043673856,2.1752863191363207e-214
mcq345,gemini4CQ,Gemini 4CQ,Task6,task2,Top Layer,0.35533333333333333,1066,1934,3000,0.008738259848802003,0.3384013130114782,0.37263538080087205,0.25,0.14044444444444446,0.11786841734863758,0.1635138410678294,8.388585056088424e-38
mcq345,gemini4CQ,Gemini 4CQ,Task7,task6,Direct Support,0.43266666666666664,1298,1702,3000,0.00904555548731387,0.4150346215427507,0.4504709364067764,0.25,0.24355555555555553,0.22004616205700098,0.2672945818757018,3.44120927597938e-105
mcq345,gemini4CQ,Gemini 4CQ,Task8,task7,Support Column,0.4003333333333333,1201,1799,3000,0.008945512013584532,0.382938344602487,0.4179832486000308,0.25,0.20044444444444443,0.1772511261366493,0.22397766480004103,4.616718311648876e-73
mcq345,gemini4CQ,Gemini 4CQ,Task9,task8,Hidden Object Count,0.38266666666666665,1148,1852,3000,0.008873798301533356,0.36543455661420526,0.40019889090180233,0.25,0.17688888888888887,0.15391274215227368,0.20026518786906977,6.878140810408471e-58
mcq345,gemini4CQ,Gemini 4CQ,Target1,main,Object Counting,0.346,1038,1962,3000,0.008684929475821897,0.3291842365717625,0.36320966329299736,0.25,0.12799999999999997,0.10557898209568332,0.1509462177239965,6.63317711147454e-32
mcq345,gemini4CQ,Gemini 4CQ,Target2a,task10,Mental Rotation 90,0.3303333333333333,991,2009,3000,0.008587068227325361,0.31372903177851624,0.3473716068170742,0.25,0.10711111111111109,0.08497204237135499,0.12982880908943226,3.98167734690505e-23
mcq345,gemini4CQ,Gemini 4CQ,Target2b,task11,Mental Rotation 180,0.315,945,2055,3000,0.0084808608053664,0.29862305635209574,0.33185013504388206,0.25,0.08666666666666667,0.06483074180279431,0.10913351339184274,6.407992427195641e-16
