group,model,display_name,correlation_type,focus_task,source_focus_task,focus_name,task,source_task,task_name,pearson_r,p_value,n
text,gpt,GPT,within_scene,Target2b,task11,Mental Rotation 180,Target2b,task11,Mental Rotation 180,,,2385
text,human,Human,naive,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,0.14828527569606226,3.249052786102765e-16,3000
text,human,Human,within_scene,Target2a,task10,Mental Rotation 90,Task2,task9,Cluster Count,0.1256776292418813,7.54996424748433e-12,2947
text,human,Human,naive,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,0.3577488575552776,2.850374267215034e-91,3000
text,human,Human,within_scene,Target2a,task10,Mental Rotation 90,Task3,task3,Column Count,0.2776946240585112,8.663868697132398e-50,2745
text,human,Human,naive,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,0.047285936298834846,0.009588480449787917,3000
text,human,Human,within_scene,Target2a,task10,Mental Rotation 90,Task4,task4,Layer Count,0.04605571008626948,0.01168225474706338,2997
text,human,Human,naive,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,0.2441229868544815,5.915463229589077e-42,3000
text,human,Human,within_scene,Target2a,task10,Mental Rotation 90,Task5,task5,Visible Object Count,0.16564925390042246,6.937884688038777e-19,2834
text,human,Human,naive,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.0312949885237641,0.08656500098765138,3000
text,human,Human,within_scene,Target2a,task10,Mental Rotation 90,Task6,task2,Top Layer,0.023772432571879006,0.19338686239905953,2995
text,human,Human,naive,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,0.18748737831302503,3.8980537054823493e-25,3000
text,human,Human,within_scene,Target2a,task10,Mental Rotation 90,Task7,task6,Direct Support,0.17512336132117734,6.644360413156857e-22,2973
text,human,Human,naive,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.19419198825919648,7.029649563239928e-27,3000
text,human,Human,within_scene,Target2a,task10,Mental Rotation 90,Task8,task7,Support Column,0.16777826301517262,4.49538786257803e-20,2951
text,human,Human,naive,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.242864184457809,1.5792211605212705e-41,3000
text,human,Human,within_scene,Target2a,task10,Mental Rotation 90,Task9,task8,Hidden Object Count,0.21133544402587928,6.0258064823126825e-31,2931
